lexeme,category,declension,variation,kind,additional_info
civicus,a1,1,1,POS,XXXCO
clabularius,a1,1,1,POS,DWXFS
clamatorius,a1,1,1,POS,XAXNS
clamorosus,a1,1,1,POS,FXXDE
clamosus,a1,1,1,POS,XXXCO
clancularius,a1,1,1,POS,XXXFO
clandestinus,a1,1,1,POS,XXXCO
clarus,a1,1,1,nor,XXXAO
claretus,a1,1,1,POS,GXXEK
clarisonus,a1,1,1,POS,XXXFO
clarividus,a1,1,1,POS,DXXFS
classiarius,a1,1,1,POS,XWXDO
classicus,a1,1,1,POS,XWXCO
clathrus,a1,1,1,POS,XXXDO
clatratus,a1,1,1,POS,XXXDO
claudus,a1,1,1,POS,XXXBO
Claudius,a1,1,1,POS,CLICO
clausus,a1,1,1,POS,XXXBO
claustrarius,a1,1,1,POS,DXXFS
clavatus,a1,1,1,POS,XXXEO
clavularius,a1,1,1,POS,DWXFS
clibanicius,a1,1,1,POS,DXXFS
climactericus,a1,1,1,POS,XSXFO
climaticus,a1,1,1,POS,GXXEK
clinatus,a1,1,1,POS,XXXEO
clipeatus,a1,1,1,POS,XWXCO
clitellarius,a1,1,1,POS,XAXEO
clivus,a1,1,1,POS,DXXES
clivius,a1,1,1,POS,DXXES
clivosus,a1,1,1,POS,XTXCO
cloacarius,a1,1,1,POS,EXXFM
clodus,a1,1,1,POS,XXXCO
Clodius,a1,1,1,POS,XXXCS
cludus,a1,1,1,POS,XXXCO
clupeatus,a1,1,1,POS,XWXCO
clurinus,a1,1,1,POS,XAXFO
clusus,a1,1,1,POS,XXXBO
clusarius,a1,1,1,POS,DXXFS
clutus,a1,1,1,POS,DXXES
cnedinus,a1,1,1,POS,XAXNS
cnephosus,a1,1,1,POS,XXXFO
cnidinus,a1,1,1,POS,XAXNO
Cous,a1,1,1,POS,XXXCO
coactus,a1,1,1,POS,FXXEE
coactiliarius,a1,1,1,POS,DXXFS
coactivus,a1,1,1,POS,GXXEK
coadjutus,a1,1,1,POS,FXXFE
coaeternus,a1,1,1,POS,DEXES
coaevus,a1,1,1,POS,DEXCS
coagulatus,a1,1,1,POS,XXXFE
coccinus,a1,1,1,POS,XXXCO
coccinatus,a1,1,1,POS,XXXEO
coccineus,a1,1,1,POS,XXXEO
cochleatus,a1,1,1,POS,DXXES
cocinus,a1,1,1,POS,XXXFO
cocinarius,a1,1,1,POS,XXXNO
cocinatorius,a1,1,1,POS,XXXFO
cocitatorius,a1,1,1,POS,XXXFO
cocleatus,a1,1,1,POS,DXXES
coctus,a1,1,1,nor,XXXBO
coctilicius,a1,1,1,POS,DXXFS
coctivus,a1,1,1,POS,XXXNO
coculeatus,a1,1,1,POS,XXXFO
codicarius,a1,1,1,POS,XWXCO
codicillarius,a1,1,1,POS,DLXFS
codificatus,a1,1,1,POS,FXXFE
coelectus,a1,1,1,POS,DXXES
coelementatus,a1,1,1,POS,DSXFS
coeliacus,a1,1,1,POS,XBXCO
coelicus,a1,1,1,POS,FEXEE
coelifluus,a1,1,1,POS,XXXFS
coeligenus,a1,1,1,POS,XXXES
coeligerus,a1,1,1,POS,XXXFS
coelioticus,a1,1,1,POS,DBXFS
coemendatus,a1,1,1,POS,DLXFS
coenacularius,a1,1,1,POS,XXXFS
coenaticus,a1,1,1,POS,XXXFS
coenatorius,a1,1,1,POS,XXXES
coenobiticus,a1,1,1,POS,EEXEE
coenosus,a1,1,1,nor,XXXES
coenulentus,a1,1,1,nor,XXXES
coeptus,a1,1,1,POS,XXXCS
coercitivus,a1,1,1,POS,FXXFE
coexercitatus,a1,1,1,POS,XXXFO
cogitabundus,a1,1,1,POS,XXXEO
cogitatus,a1,1,1,POS,XXXES
cognatus,a1,1,1,POS,XXXBO
cognitus,a1,1,1,POS,XXXBO
cognitorius,a1,1,1,POS,XLXEO
cognominatus,a1,1,1,POS,XXXFO
cognoscitivus,a1,1,1,POS,FEXDF
cohaesus,a1,1,1,POS,DXXFS
cohibitus,a1,1,1,POS,XXXFO
cohortalinus,a1,1,1,POS,DWXES
coinquinatus,a1,1,1,POS,DXXFS
colatus,a1,1,1,POS,DXXFS
coleatus,a1,1,1,POS,XXXFO
colicus,a1,1,1,POS,DBXFS
collaceratus,a1,1,1,POS,XXXFS
collatatus,a1,1,1,POS,XXXFS
collaticius,a1,1,1,POS,XXXDO
collatitius,a1,1,1,POS,XXXES
collativus,a1,1,1,POS,XXXEO
collectus,a1,1,1,nor,XXXEO
collectaneus,a1,1,1,POS,XXXEO
collecticius,a1,1,1,POS,XXXEO
collectitius,a1,1,1,POS,XXXEO
collectivus,a1,1,1,POS,XGXFO
collectivisticus,a1,1,1,POS,FGXFE
collegiarius,a1,1,1,POS,DXXFS
collegiatus,a1,1,1,POS,FXXEE
colleticus,a1,1,1,POS,DXXFS
collimitaneus,a1,1,1,POS,DXXFS
collinus,a1,1,1,POS,XXXDO
colliquefactus,a1,1,1,POS,XSXES
collisus,a1,1,1,POS,XXXFO
collocutorius,a1,1,1,POS,GXXEK
collyricus,a1,1,1,POS,XXXFO
colobicus,a1,1,1,POS,DXXFS
colonarius,a1,1,1,POS,DAXES
coloniarius,a1,1,1,POS,XXXEO
colonicus,a1,1,1,POS,XXXCO
Coloniensus,a1,1,1,POS,XXGEE
coloratus,a1,1,1,nor,XXXCO
coloreus,a1,1,1,POS,DXXES
colorius,a1,1,1,POS,XXXEO
colosiaeus,a1,1,1,POS,XXXNO
colossaeus,a1,1,1,POS,XXXEO
colosseus,a1,1,1,POS,XXXEO
colossicus,a1,1,1,POS,XXXEO
colostratus,a1,1,1,POS,XAXNO
colubrimodus,a1,1,1,POS,DXXFS
colubrinus,a1,1,1,POS,XXXEO
colubrosus,a1,1,1,POS,DXXFS
columbinus,a1,1,1,POS,XAXCO
columbinaceus,a1,1,1,POS,DAXES
columnatus,a1,1,1,POS,XTXDO
colurus,a1,1,1,POS,DSXES
colurnus,a1,1,1,POS,XAXEO
comatus,a1,1,1,POS,XXXCO
comatorius,a1,1,1,POS,XXXFO
combardus,a1,1,1,POS,XXXFO
comicus,a1,1,1,POS,XDXCO
comicotragicus,a1,1,1,POS,GXXEK
comincommodus,a1,1,1,POS,XXXFO
comisabundus,a1,1,1,POS,XXXEO
comissabundus,a1,1,1,POS,XXXEO
comitatus,a1,1,1,nor,XXXCO
comitianus,a1,1,1,POS,DLXFS
comitivus,a1,1,1,POS,DLXES
commandaticius,a1,1,1,POS,XXXDO
commatus,a1,1,1,POS,FXXEZ
commaticus,a1,1,1,POS,DEXES
commembratus,a1,1,1,POS,DXXFS
commendatus,a1,1,1,nor,XXXCO
commendatarius,a1,1,1,POS,XXXDO
commendaticius,a1,1,1,POS,XXXDO
commendatitius,a1,1,1,POS,DXXDS
commendativus,a1,1,1,POS,DXXDS
commendatorius,a1,1,1,POS,DXXES
commensuratus,a1,1,1,POS,DSXFS
commentus,a1,1,1,POS,XXXEO
commenticius,a1,1,1,POS,XXXCO
commentitius,a1,1,1,POS,XXXCS
commictus,a1,1,1,POS,XXXES
comminabundus,a1,1,1,POS,DXXFS
comminatus,a1,1,1,POS,DXXES
comminativus,a1,1,1,POS,DXXFS
comminutus,a1,1,1,POS,XXXCO
commiscuus,a1,1,1,POS,DXXFS
commissorius,a1,1,1,POS,XLXEO
commodus,a1,1,1,nor,XXXAO
commoderatus,a1,1,1,POS,DLXFS
commonitorius,a1,1,1,POS,DXXFS
commotus,a1,1,1,nor,XXXCO
communicarius,a1,1,1,POS,XEXFS
communisticus,a1,1,1,POS,GXXEK
communitarius,a1,1,1,POS,XXXFE
comoedus,a1,1,1,POS,XDXFO
comoedicus,a1,1,1,POS,XDXFO
comosus,a1,1,1,POS,XXXEO
compactus,a1,1,1,POS,XXXCO
compacticius,a1,1,1,POS,DXXFS
compactitius,a1,1,1,POS,DXXFS
compactivus,a1,1,1,POS,DXXFS
comparativus,a1,1,1,POS,XGXCO
compascuus,a1,1,1,POS,XAXCO
compavitus,a1,1,1,POS,XXXFO
compedus,a1,1,1,POS,XXXFO
compeditus,a1,1,1,POS,XXXDO
compendiarius,a1,1,1,POS,XXXEO
compendiosus,a1,1,1,POS,XXXDO
compensativus,a1,1,1,POS,DXXFS
comperendinus,a1,1,1,POS,XLXFO
comperpetuus,a1,1,1,POS,DEXFS
compertus,a1,1,1,POS,XLXCO
compitalicius,a1,1,1,POS,XXXDO
compitalitius,a1,1,1,POS,XXXDS
complacitus,a1,1,1,nor,DXXES
complementarius,a1,1,1,POS,GXXEK
completus,a1,1,1,nor,XXXEO
completivus,a1,1,1,POS,DXXFS
complexionatus,a1,1,1,POS,FXXFM
complexivus,a1,1,1,POS,XGXFO
complusculus,a1,1,1,POS,XXXCO
compluviatus,a1,1,1,POS,XAXEO
compositus,a1,1,1,nor,XXXBO
compositicius,a1,1,1,POS,XGXFO
composititius,a1,1,1,POS,XGXFS
compositivus,a1,1,1,POS,DXXFS
compostus,a1,1,1,nor,XXXBO
comprehensivus,a1,1,1,POS,DXXFS
compressus,a1,1,1,nor,XBXCO
compromissarius,a1,1,1,POS,XLXEO
comptus,a1,1,1,POS,XXXCO
comptulus,a1,1,1,POS,XXXFO
compunctus,a1,1,1,POS,EXXEB
compunctorius,a1,1,1,POS,DEXFS
comtus,a1,1,1,nor,XXXBS
concalfactorius,a1,1,1,POS,XBXNO
concamaratus,a1,1,1,POS,XXXDQ
concameratus,a1,1,1,POS,XXXDQ
concatus,a1,1,1,POS,XXXEO
concatervatus,a1,1,1,POS,DXXES
concavus,a1,1,1,POS,XXXCO
concavatus,a1,1,1,POS,XXXFO
concentricus,a1,1,1,POS,GXXEK
conceptus,a1,1,1,nor,XXXCO
conceptivus,a1,1,1,POS,XXXEO
concertativus,a1,1,1,POS,XLXFO
concertatorius,a1,1,1,POS,XXXFO
concessus,a1,1,1,POS,XXXCO
concessivus,a1,1,1,POS,DXXES
conchatus,a1,1,1,POS,XXXNO
concheus,a1,1,1,POS,XXXFO
conchiclatus,a1,1,1,POS,XXXFS
conchyliatus,a1,1,1,POS,XXXDO
conciliatus,a1,1,1,nor,XXXCS
conciliciatus,a1,1,1,POS,DEXFS
concineratus,a1,1,1,POS,DXXFS
concinnus,a1,1,1,nor,XXXCO
concinnatus,a1,1,1,POS,XXXFO
concinnaticius,a1,1,1,POS,XXXFO
concionabundus,a1,1,1,POS,ELXEO
concionarius,a1,1,1,POS,EXXEO
concionatorius,a1,1,1,POS,EEXEE
concisus,a1,1,1,nor,XXXCO
concisorius,a1,1,1,POS,DAXES
concitus,a1,1,1,POS,XXXEO
concitatus,a1,1,1,nor,XXXCO
conclamatus,a1,1,1,nor,DXXCS
conclusus,a1,1,1,nor,XXXCO
concolorus,a1,1,1,POS,DXXDS
concomitatus,a1,1,1,POS,XXXFO
concorporatus,a1,1,1,POS,EEXFE
concorporeus,a1,1,1,POS,EEXFE
concorporificatus,a1,1,1,POS,DXXFS
concreatus,a1,1,1,POS,DEXES
concretus,a1,1,1,nor,XSXBO
concrispus,a1,1,1,POS,DXXFS
concrustatus,a1,1,1,POS,DXXES
conctabundus,a1,1,1,POS,XXXDS
concubius,a1,1,1,POS,XXXCO
concubinarius,a1,1,1,POS,EXXFE
concumulatus,a1,1,1,POS,DXXFS
concupiscentivus,a1,1,1,POS,DXXFS
concupiscitivus,a1,1,1,POS,DXXFS
concursatorius,a1,1,1,POS,DWXFS
concussus,a1,1,1,POS,DXXFS
condemnatorius,a1,1,1,POS,ELXFE
condensus,a1,1,1,POS,XXXCO
condensatus,a1,1,1,POS,GXXEK
condicticius,a1,1,1,POS,XLXEO
condictitius,a1,1,1,POS,XLXES
condignus,a1,1,1,POS,XXXCO
condimentarius,a1,1,1,POS,XXXNO
conditus,a1,1,1,POS,XXXCO
conditaneus,a1,1,1,POS,XXXFO
conditicius,a1,1,1,POS,DXXFS
conditionatus,a1,1,1,POS,EXXEE
condititius,a1,1,1,POS,DXXFS
conditivus,a1,1,1,POS,XXXEO
conditorius,a1,1,1,POS,GXXEK
condoctus,a1,1,1,POS,XGXEO
conductus,a1,1,1,POS,XXXCO
conducticius,a1,1,1,POS,XXXDO
conductitius,a1,1,1,POS,XXXDS
conexivus,a1,1,1,POS,XGXFO
confectus,a1,1,1,POS,XAXFO
confersus,a1,1,1,nor,XXXFO
confertus,a1,1,1,nor,XXXBO
confessus,a1,1,1,POS,XLXCO
confessorius,a1,1,1,POS,XLXEO
confictus,a1,1,1,POS,XXXFE
confidentiloquus,a1,1,1,nor,AXXFO
configuratus,a1,1,1,POS,EXXFE
confinius,a1,1,1,POS,DXXES
confirmatus,a1,1,1,nor,XXXCO
confirmativus,a1,1,1,POS,DXXDS
conflagratus,a1,1,1,POS,DXXES
conflexus,a1,1,1,POS,XXXNO
conflictatus,a1,1,1,POS,DXXFS
confligatus,a1,1,1,POS,DXXFS
confluus,a1,1,1,POS,DXXES
confoedustus,a1,1,1,POS,XLXFS
confossus,a1,1,1,nor,BXXFS
confractus,a1,1,1,POS,XXXEO
confragus,a1,1,1,POS,XXXEO
confragosus,a1,1,1,nor,XXXCS
confultus,a1,1,1,POS,XXXFS
confusus,a1,1,1,nor,XXXBO
confusaneus,a1,1,1,POS,XXXFO
confusicius,a1,1,1,POS,XXXFO
congelatus,a1,1,1,POS,XXXEE
congenatus,a1,1,1,POS,XGXEO
congeniclatus,a1,1,1,POS,XXXFO
congenitus,a1,1,1,POS,XBXNO
congenuclatus,a1,1,1,POS,XXXFO
congermanus,a1,1,1,POS,DXXFS
congermanatus,a1,1,1,POS,XXXFO
congestus,a1,1,1,POS,DXXFS
congesticius,a1,1,1,POS,XXXEO
congestitius,a1,1,1,POS,XXXES
congiarius,a1,1,1,POS,XSXFS
conglutinosus,a1,1,1,POS,DXXFS
congradus,a1,1,1,POS,DXXFS
congregus,a1,1,1,POS,DAXFS
congregativus,a1,1,1,POS,DXXFS
congruus,a1,1,1,POS,XXXDO
conicus,a1,1,1,POS,XSXFO
conivolus,a1,1,1,POS,XXXFW
conjectarius,a1,1,1,POS,XGXFO
conjectatorius,a1,1,1,POS,DGXFS
conjugalus,a1,1,1,POS,XAXEO
conjugatus,a1,1,1,POS,XGXEO
conjugulus,a1,1,1,POS,XAXES
conjunctus,a1,1,1,POS,XXXBO
conjunctivus,a1,1,1,POS,XXXFO
conjuratus,a1,1,1,POS,XXXDS
conlaceratus,a1,1,1,POS,XXXFS
conlaticius,a1,1,1,POS,XXXDO
conlatitius,a1,1,1,POS,XXXDS
conlativus,a1,1,1,POS,XXXEO
conlectus,a1,1,1,nor,XXXEO
conlectaneus,a1,1,1,POS,XXXEO
conlecticius,a1,1,1,POS,XXXEO
conlectitius,a1,1,1,POS,XXXEO
conlectivus,a1,1,1,POS,XGXEO
conlegiarius,a1,1,1,POS,DXXFS
conlimitaneus,a1,1,1,POS,DXXFS
conliquefactus,a1,1,1,POS,XSXES
conlisus,a1,1,1,POS,XXXFO
conmotus,a1,1,1,nor,XXXCS
connatus,a1,1,1,POS,DXXES
connexivus,a1,1,1,POS,XGXFO
connudatus,a1,1,1,POS,XXXNS
conpactus,a1,1,1,POS,XXXCO
conparaticius,a1,1,1,POS,DXXFS
conparativus,a1,1,1,POS,XGXCO
conpascuus,a1,1,1,POS,XAXCO
conpavitus,a1,1,1,POS,XXXFO
conpedus,a1,1,1,POS,XXXFO
conpeditus,a1,1,1,POS,XXXDO
conpendiarius,a1,1,1,POS,XXXEO
conpendiosus,a1,1,1,POS,XXXDO
conperendinus,a1,1,1,POS,XLXFO
conpitalicius,a1,1,1,POS,XXXDO
conpitalitius,a1,1,1,POS,XXXDS
conpletus,a1,1,1,nor,XXXEO
conplexivus,a1,1,1,POS,XGXFO
conplusculus,a1,1,1,POS,XXXCO
conpluviatus,a1,1,1,POS,XAXEO
conpositus,a1,1,1,nor,XXXBO
conpositicius,a1,1,1,POS,XGXFO
conposititius,a1,1,1,POS,XGXFS
conpostus,a1,1,1,nor,XXXBO
conpressus,a1,1,1,nor,XBXCO
conpromissarius,a1,1,1,POS,XLXEO
conquietus,a1,1,1,POS,XXXIO
conquisitus,a1,1,1,nor,XXXEO
conrectus,a1,1,1,nor,XXXEO
conreptus,a1,1,1,POS,XGXEO
conresupinatus,a1,1,1,POS,DXXFS
conruptus,a1,1,1,nor,XXXCO
conruptivus,a1,1,1,POS,DEXFS
conruptorius,a1,1,1,POS,DXXFS
consacraneus,a1,1,1,POS,XLXIS
consacratus,a1,1,1,nor,XEXFS
consanguineus,a1,1,1,POS,XXXCO
consceleratus,a1,1,1,nor,XXXCS
conscius,a1,1,1,POS,XXXBO
consecraneus,a1,1,1,POS,XLXIS
consecratus,a1,1,1,nor,XEXFS
consecratorius,a1,1,1,POS,DEXFE
consectandus,a1,1,1,POS,XXXFO
consectaneus,a1,1,1,POS,DXXES
consectarius,a1,1,1,POS,XGXEO
consemineus,a1,1,1,POS,XAXEO
consensus,a1,1,1,POS,DXXFS
consentaneus,a1,1,1,POS,XXXCO
consequus,a1,1,1,POS,XXXCS
consequius,a1,1,1,POS,XXXFO
conservativus,a1,1,1,POS,GXXEK
consideratus,a1,1,1,nor,XXXCO
consiliarius,a1,1,1,POS,XXXDO
consiliosus,a1,1,1,nor,XXXDS
consistorianus,a1,1,1,POS,DLXFS
consitus,a1,1,1,POS,XXXIO
consocius,a1,1,1,POS,DXXFS
consociatus,a1,1,1,nor,XXXEO
consolativus,a1,1,1,POS,DXXFS
consolatorius,a1,1,1,POS,XXXEO
consolutus,a1,1,1,POS,DSXEO
consonus,a1,1,1,POS,XXXCO
conspectus,a1,1,1,nor,XXXCO
conspicabundus,a1,1,1,POS,DXXFS
conspiciendus,a1,1,1,POS,XXXCO
conspicuus,a1,1,1,POS,XXXCO
conspiratus,a1,1,1,POS,XXXFS
conspissatus,a1,1,1,POS,XXXES
consponsus,a1,1,1,POS,XXXFO
conspultus,a1,1,1,POS,DEXFS
conspurcatus,a1,1,1,POS,GXXET
constellatus,a1,1,1,POS,DSXES
consternatus,a1,1,1,POS,XXXFE
constitutus,a1,1,1,POS,XXXCO
constitutivus,a1,1,1,POS,EXXFE
constitutorius,a1,1,1,POS,XLXFO
constratus,a1,1,1,POS,XWXDO
constrictus,a1,1,1,nor,XXXNO
constrictivus,a1,1,1,POS,DXXES
consubstantivus,a1,1,1,POS,DEXES
consucidus,a1,1,1,POS,XXXFO
consuetus,a1,1,1,nor,XXXCO
consuetudinarius,a1,1,1,POS,DXXES
consularius,a1,1,1,POS,DLXES
consultus,a1,1,1,nor,XXXCO
consultatorius,a1,1,1,POS,DXXFS
consultivus,a1,1,1,POS,EXXFE
consummatus,a1,1,1,nor,XXXCO
consumptivus,a1,1,1,POS,GXXEK
contagiosus,a1,1,1,POS,DBXES
contaminabilus,a1,1,1,POS,DEXES
contaminatus,a1,1,1,nor,XXXDX
contemnendus,a1,1,1,POS,XXXCO
contemnificus,a1,1,1,POS,XXXFO
contemplabundus,a1,1,1,POS,DXXFS
contemplativus,a1,1,1,POS,XXXFO
contemporaneus,a1,1,1,POS,DXXFS
contemptus,a1,1,1,nor,XXXCO
contemtus,a1,1,1,nor,XXXCS
contentus,a1,1,1,nor,XXXBO
contentiosus,a1,1,1,POS,XXXEO
conterminus,a1,1,1,POS,XXXCO
conterritus,a1,1,1,POS,XXXCE
contestatus,a1,1,1,POS,XXXFO
contextus,a1,1,1,POS,XXXCO
contiguus,a1,1,1,POS,XXXCO
continnatus,a1,1,1,POS,FXXEE
continuus,a1,1,1,POS,XXXBX
continuatus,a1,1,1,POS,XXXCO
continuativus,a1,1,1,POS,DGXFS
contionabundus,a1,1,1,POS,XLXEO
contionarius,a1,1,1,POS,XXXEO
contionatorius,a1,1,1,POS,EEXEE
contortus,a1,1,1,POS,XXXEO
contortiplicatus,a1,1,1,POS,XXXFO
contortulus,a1,1,1,POS,XGXFS
contractus,a1,1,1,POS,XXXBO
contradictorius,a1,1,1,POS,DGXFS
contrarius,a1,1,1,POS,XXXAO
contraversus,a1,1,1,POS,DXXES
contrectus,a1,1,1,POS,XXXCS
contremulus,a1,1,1,POS,XXXFO
contritus,a1,1,1,POS,FEXCF
controversus,a1,1,1,POS,XXXCO
controversiosus,a1,1,1,POS,XGXEO
contrpuncticus,a1,1,1,POS,FGXFE
contumeliosus,a1,1,1,nor,XXXCO
contuolus,a1,1,1,POS,DBXFS
conturbatus,a1,1,1,nor,XXXFO
convenus,a1,1,1,POS,XXXES
conventicius,a1,1,1,POS,BXXFS
conventitius,a1,1,1,POS,BXXFS
conversus,a1,1,1,POS,XXXDO
convexus,a1,1,1,POS,XTXCO
convicinus,a1,1,1,POS,FXXEM
convolsus,a1,1,1,POS,XBXES
convulsus,a1,1,1,POS,XBXES
cooperativus,a1,1,1,POS,FXXEE
coopertus,a1,1,1,POS,XXXCO
coordinatus,a1,1,1,POS,FSXEM
copertus,a1,1,1,POS,XXXCO
copiosus,a1,1,1,nor,XXXBO
copulatus,a1,1,1,nor,XXXCO
copulativus,a1,1,1,POS,DGXDO
coquinus,a1,1,1,POS,XXXFO
coquinarius,a1,1,1,POS,XXXNO
coquinatorius,a1,1,1,POS,XXXFO
coquitatorius,a1,1,1,POS,XXXFO
coracicus,a1,1,1,POS,XXXFS
coracinus,a1,1,1,POS,XXXEO
corallinus,a1,1,1,POS,XXXES
coralliticus,a1,1,1,POS,XXXEO
corarius,a1,1,1,POS,XXXEO
corbitus,a1,1,1,POS,XWXFS
corcotarius,a1,1,1,POS,XXXFO
cordus,a1,1,1,POS,XAXCO
cordatus,a1,1,1,nor,XXXEO
cordipugus,a1,1,1,POS,XXXFO
coriaceus,a1,1,1,POS,DXXES
coriaginosus,a1,1,1,POS,DAXFS
coriarius,a1,1,1,POS,XXXEO
Corintheus,a1,1,1,POS,AXHCO
Corinthius,a1,1,1,POS,AXHCO
Corinthiacus,a1,1,1,POS,AXHEO
cornatus,a1,1,1,POS,XXXFS
corneus,a1,1,1,POS,XAXDO
corneolus,a1,1,1,POS,XAXFO
corniculatus,a1,1,1,POS,XXXFO
cornipetus,a1,1,1,POS,EXXFS
cornupetus,a1,1,1,POS,DXXFS
cornutus,a1,1,1,POS,XXXCO
coroliticus,a1,1,1,POS,XXXEO
corolliticus,a1,1,1,POS,XXXEO
coronarius,a1,1,1,POS,XXXCO
coronatus,a1,1,1,POS,XXXCO
corporatus,a1,1,1,POS,XXXDO
corporativus,a1,1,1,POS,DXXFS
corporeus,a1,1,1,POS,XXXDX
corporosus,a1,1,1,POS,DBXFS
corpulentus,a1,1,1,nor,XXXDO
correctus,a1,1,1,nor,XXXEO
correlativus,a1,1,1,POS,FXXFM
correptus,a1,1,1,POS,XGXEO
corresupinatus,a1,1,1,POS,DXXFS
corruptus,a1,1,1,nor,XXXCO
corruptivus,a1,1,1,POS,DEXFS
corruptorius,a1,1,1,POS,DXXFS
corticatus,a1,1,1,POS,XXXFO
corticeus,a1,1,1,POS,XXXEO
corticius,a1,1,1,POS,XXXEO
corticosus,a1,1,1,POS,XXXNO
coruscus,a1,1,1,POS,XXXCO
corvinus,a1,1,1,POS,XAXEO
corymbiatus,a1,1,1,POS,DAXFS
cosmeticus,a1,1,1,POS,GXXEK
cosmicus,a1,1,1,POS,DXXES
cosmographicus,a1,1,1,POS,HSXEK
cosmologicus,a1,1,1,POS,HSXEK
cosmopoliticus,a1,1,1,POS,GXXEK
costatus,a1,1,1,POS,XXXFO
cothurnatus,a1,1,1,POS,XDXCO
cotidianus,a1,1,1,POS,XXXBO
cotoneus,a1,1,1,POS,XAXCO
cottidianus,a1,1,1,POS,XXXDO
coturnatus,a1,1,1,POS,XDXCO
coxus,a1,1,1,POS,XBXFO
crapulanus,a1,1,1,POS,XXXNO
crapularius,a1,1,1,POS,XXXFO
crapulatus,a1,1,1,POS,DXXFS
crapulentus,a1,1,1,POS,DXXFS
crapulosus,a1,1,1,POS,DXXFS
crassus,a1,1,1,nor,XXXAO
crassivenius,a1,1,1,POS,XAXNO
crastinus,a1,1,1,POS,XXXBX
craticius,a1,1,1,POS,XAXEO
craticulus,a1,1,1,POS,XXXFS
cratitius,a1,1,1,POS,XAXES
creatus,a1,1,1,POS,XXXEO
creativus,a1,1,1,POS,FXXEE
crebratus,a1,1,1,POS,XXXNO
crebrinodus,a1,1,1,POS,XXXFO
crebrinodosus,a1,1,1,POS,XXXFO
crebrisurus,a1,1,1,POS,XXXFO
creditus,a1,1,1,POS,XXXEO
credulus,a1,1,1,POS,XXXCO
crepidarius,a1,1,1,POS,XXXEO
crepidatus,a1,1,1,POS,XXXEC
crepulus,a1,1,1,POS,DXXES
cretus,a1,1,1,POS,XXXCS
cretaceus,a1,1,1,POS,XXXNO
cretarius,a1,1,1,POS,XXXEO
cretatus,a1,1,1,POS,XXXDX
creteus,a1,1,1,POS,XXXFO
cretosus,a1,1,1,POS,XXXCO
cribarius,a1,1,1,POS,XXXNO
cribrarius,a1,1,1,POS,XXXNS
criminosus,a1,1,1,nor,XXXCO
crininus,a1,1,1,POS,DAXFS
crinitus,a1,1,1,POS,XXXDX
crisimus,a1,1,1,POS,DXXEO
crispus,a1,1,1,POS,XXXDX
crispicapillus,a1,1,1,POS,XXXFS
crispulus,a1,1,1,POS,XXXDO
cristatus,a1,1,1,POS,XAXCO
criticus,a1,1,1,POS,DXXFS
crocatus,a1,1,1,POS,XXXEO
croceus,a1,1,1,POS,XXXCO
crocinus,a1,1,1,POS,XXXDO
crocotarius,a1,1,1,POS,XXXFO
crocotillus,a1,1,1,POS,XXXFO
cruciabundus,a1,1,1,POS,DXXFS
cruciarius,a1,1,1,POS,DEXFS
cruciatorius,a1,1,1,POS,DEXFS
crucifixus,a1,1,1,POS,DEXEB
crudus,a1,1,1,nor,XXXAO
crudarius,a1,1,1,POS,XXXNO
cruentus,a1,1,1,nor,XXXBO
cruentatus,a1,1,1,POS,XXXCQ
crusmaticus,a1,1,1,POS,DDXFS
crustallinus,a1,1,1,POS,XXXCO
crustarius,a1,1,1,POS,XXXEO
crustosus,a1,1,1,nor,XXXNO
crypticus,a1,1,1,POS,DXXFS
crystallinus,a1,1,1,POS,XXXCO
cubicus,a1,1,1,POS,XSXFO
cubicularius,a1,1,1,POS,XXXES
cubiculatus,a1,1,1,POS,XWXFS
cubitorius,a1,1,1,POS,XXXFO
cucullatus,a1,1,1,POS,DXXFS
cucumeraceus,a1,1,1,POS,DAXFS
cucurbitinus,a1,1,1,POS,XAXEO
cucurbitivus,a1,1,1,POS,XAXEO
cujus,a1,1,1,POS,XXXCO
culinarius,a1,1,1,POS,XXXES
culmeus,a1,1,1,POS,DAXFS
culmosus,a1,1,1,POS,DAXFS
culpatus,a1,1,1,nor,XXXFO
culposus,a1,1,1,nor,FXXEE
cultus,a1,1,1,nor,XAXBO
cultellatus,a1,1,1,POS,XXXNO
cultratus,a1,1,1,POS,XXXNO
cuminatus,a1,1,1,POS,DXXFS
cumininus,a1,1,1,POS,DAXFS
cumminosus,a1,1,1,POS,XAXNO
cumulatus,a1,1,1,nor,XXXCO
cumulativus,a1,1,1,POS,FXXEE
cunctus,a1,1,1,POS,XXXAO
cunctabundus,a1,1,1,POS,XXXDO
cunctatus,a1,1,1,nor,XXXFO
cuncticinus,a1,1,1,POS,DXXFS
cuneatus,a1,1,1,POS,XXXDO
cuniculatus,a1,1,1,POS,XXXFS
cuniculosus,a1,1,1,POS,XAXFO
cunnilingus,a1,1,1,POS,XXXEO
cupedinarius,a1,1,1,POS,XXXES
cupidus,a1,1,1,nor,XXXBO
cupitus,a1,1,1,POS,XXXCO
cuppedinarius,a1,1,1,POS,XXXES
cupreus,a1,1,1,POS,DXXES
cupresseus,a1,1,1,POS,XAXDO
cupressinus,a1,1,1,POS,XAXEO
cuprinus,a1,1,1,POS,DXXES
curatus,a1,1,1,nor,XXXCO
