lexeme,category,conjugation,variation,kind,additional_info
concerno,v3,3,nor,TRA,DXXFS
concerpo,v3,3,nor,TRA,XXXCO
concerto,v1,1,nor,nor,XXXCO
concesso,v1,1,nor,INT,XXXEO
concio,v4,4,nor,TRA,XXXCO
concido,v3,3,nor,TRA,XXXBO
concieo,v6,6,1,TRA,XXXBO
concilio,v1,1,nor,TRA,XXXAO
concino,v3,3,nor,nor,XXXBO
concingo,v3,3,nor,TRA,DXXFS
concinno,v1,1,nor,TRA,XXXBO
conciono,v1,1,nor,DEP,ELXCO
concipio,v3,3,nor,TRA,XXXAO
concipilo,v1,1,nor,TRA,XXXEO
concito,v1,1,nor,TRA,XXXAO
conclamo,v1,1,nor,nor,XXXBO
conclamito,v1,1,nor,INT,XXXFO
conclavo,v1,1,nor,TRA,DXXFS
concludo,v3,3,nor,TRA,XXXAO
concomito,v1,1,nor,DEP,DXXES
concopulo,v1,1,nor,TRA,XXXFS
concoquo,v3,3,nor,TRA,XXXBO
concordo,v1,1,nor,nor,XXXCO
concorporo,v1,1,nor,TRA,XXXEO
concrasso,v1,1,nor,TRA,DSXFS
concreo,v1,1,nor,TRA,EXXFE
concrebresco,v3,3,nor,INT,XXXFO
concredo,v3,3,nor,TRA,XXXCO
concreduo,v3,3,nor,TRA,BXXDS
concremo,v1,1,nor,TRA,XXXDO
concrepo,v1,1,nor,nor,XXXCO
concrepatio,v1,1,nor,INT,DXXFS
concresco,v3,3,nor,INT,XSXBO
concrimino,v1,1,nor,DEP,XLXFO
concrispo,v1,1,nor,nor,XXXEO
concrucifigo,v1,1,nor,TRA,DEXES
concrucifigo,v3,3,nor,TRA,EEXEW
concrusio,v1,1,nor,TRA,XXXFO
concubo,v1,1,nor,DAT,XXXFO
conculco,v1,1,nor,TRA,XXXCO
concumbo,v3,3,nor,INT,XXXCO
concupio,v3,3,nor,TRA,XXXFO
concupisco,v3,3,nor,nor,XXXCO
concuro,v1,1,nor,TRA,XXXFO
concurro,v3,3,nor,INT,XLXAO
concurso,v1,1,nor,nor,XXXCO
concurvo,v1,1,nor,TRA,XXXFO
concustodio,v4,4,nor,TRA,XXXDO
concutio,v3,3,nor,TRA,XXXBO
condo,v3,3,nor,TRA,XXXAO
condecerno,v3,3,nor,TRA,DXXFS
condecoro,v1,1,nor,TRA,XXXCO
condelecto,v1,1,nor,INT,DEXFS
condeliquesco,v3,3,nor,INT,XXXFO
condemno,v1,1,nor,TRA,XLXAO
condenso,v1,1,nor,TRA,XXXCO
condepso,v3,3,nor,TRA,XXXFO
condescendo,v3,3,nor,INT,DXXES
condio,v4,4,nor,TRA,XXXCO
condico,v3,3,nor,TRA,XXXBO
condisco,v3,3,nor,TRA,XXXCO
condocefacio,v3,3,nor,TRA,XXXEO
condocefio,v3,3,nor,SEM,XXXEO
condolesco,v3,3,nor,INT,XXXCO
condomo,v1,1,nor,TRA,DXXFS
condono,v1,1,nor,TRA,XXXBO
condormio,v4,4,nor,INT,XXXEO
condormisco,v3,3,nor,INT,XXXDO
conduco,v3,3,nor,TRA,XXXAO
condulco,v1,1,nor,TRA,DXXES
condumno,v1,1,nor,TRA,XLXIO
conduplico,v1,1,nor,TRA,XXXDO
conduro,v1,1,nor,TRA,XXXFO
conecto,v3,3,nor,TRA,XXXBO
conesto,v1,1,nor,TRA,XXXCO
confabrico,v1,1,nor,DEP,XXXFO
confabulo,v1,1,nor,DEP,XXXDO
confacio,v3,3,nor,TRA,XXXFS
confarreo,v1,1,nor,TRA,XLXEO
confedero,v1,1,nor,nor,FXXFM
confero,v3,3,nor,TRA,XXXAO
confercio,v4,4,nor,TRA,XXXCO
confermento,v1,1,nor,TRA,DXXFS
conferrumino,v1,1,nor,TRA,XXXNO
conferumino,v1,1,nor,TRA,XXXNO
confervo,v3,3,nor,INT,XBXEO
confervefacio,v3,3,nor,TRA,XXXEO
confervefio,v3,3,nor,SEM,XXXEO
confervesco,v3,3,nor,INT,XXXEO
confio,v3,3,nor,SEM,BXXCS
conficio,v3,3,nor,TRA,XXXAO
conficto,v1,1,nor,TRA,XXXEO
confido,v3,3,nor,SEM,XXXBO
configo,v3,3,nor,TRA,XXXBO
configuro,v1,1,nor,TRA,XXXEO
confindo,v3,3,nor,TRA,XXXFO
confingo,v3,3,nor,TRA,XXXCO
confirmo,v1,1,nor,TRA,XXXAO
confisco,v1,1,nor,TRA,XLXCO
conflo,v1,1,nor,TRA,XXXBO
conflabello,v1,1,nor,TRA,DXXFS
conflaccesco,v3,3,nor,INT,XXXFO
conflagro,v1,1,nor,INT,XXXCO
conflammo,v1,1,nor,TRA,DXXFS
conflicto,v1,1,nor,nor,XXXCO
confligo,v3,3,nor,nor,XXXBO
confluo,v3,3,nor,INT,XXXBO
confluctuo,v1,1,nor,INT,XXXFO
confodio,v3,3,nor,TRA,XXXCO
confoedo,v1,1,nor,TRA,XXXFO
confoedero,v1,1,nor,TRA,DLXES
conforio,v4,4,nor,TRA,XXXFO
conformo,v1,1,nor,TRA,XXXBO
confornico,v1,1,nor,TRA,XTXFO
conforto,v1,1,nor,TRA,DXXES
confracesco,v3,3,nor,INT,XXXFO
confremo,v3,3,nor,INT,XXXDO
confrequento,v1,1,nor,TRA,XXXCO
confrio,v1,1,nor,TRA,XXXFO
confrico,v1,1,nor,TRA,XXXCO
confrigo,v3,3,nor,TRA,EXXEE
confringo,v3,3,nor,TRA,XXXCO
confrixo,v1,1,nor,TRA,DXXFS
confronto,v1,1,nor,TRA,EXXEE
confugio,v3,3,nor,INT,XXXBO
confulcio,v4,4,nor,TRA,XXXFO
confundo,v3,3,nor,TRA,XXXAO
confunero,v1,1,nor,TRA,DXXFS
confuto,v1,1,nor,TRA,XXXCO
confutuo,v1,1,nor,TRA,XXXFO
congarrio,v4,4,nor,TRA,XXXFO
congelo,v1,1,nor,nor,XXXCO
congelasco,v3,3,nor,INT,XXXEO
congemo,v3,3,nor,nor,XXXCO
congemino,v1,1,nor,TRA,XXXCO
congemisco,v3,3,nor,INT,DEXFS
congenero,v1,1,nor,TRA,XXXDO
congeniclo,v1,1,nor,nor,XXXEO
congenuclo,v1,1,nor,nor,XXXEO
congero,v3,3,nor,TRA,XXXAO
congermanesco,v3,3,nor,INT,XXXEO
congermino,v1,1,nor,INT,XAXFO
congesto,v1,1,nor,TRA,XXXFS
conglacio,v1,1,nor,nor,XXXDS
conglisco,v3,3,nor,INT,BXXFO
conglobo,v1,1,nor,nor,XXXBO
conglomero,v1,1,nor,TRA,XXXDO
conglorifico,v1,1,nor,TRA,DEXFS
conglutino,v1,1,nor,nor,GXXEK
congraeco,v1,1,nor,TRA,XXXFO
congratulo,v1,1,nor,DEP,XXXEO
congredio,v3,3,nor,DEP,XXXBO
congredio,v4,4,nor,DEP,BXXEO
congrego,v1,1,nor,TRA,XXXBO
congruo,v3,3,nor,INT,XXXBO
congyro,v1,1,nor,INT,DXXFS
conicio,v3,3,nor,TRA,XXXAO
coninquo,v3,3,nor,TRA,DXXFO
coninquino,v1,1,nor,TRA,XXXDO
conisco,v1,1,nor,nor,XXXCS
conito,v3,3,nor,DEP,XXXBO
conjecto,v1,1,nor,nor,XXXCO
conjicio,v3,3,nor,TRA,XXXES
conjucundo,v1,1,nor,DEP,DEXFS
conjugo,v1,1,nor,TRA,XXXEO
conjungo,v3,3,nor,TRA,XXXAO
conjuro,v1,1,nor,INT,XXXBO
conlabo,v1,1,nor,INT,DXXFS
conlabo,v3,3,nor,DEP,XXXEO
conlabasco,v3,3,nor,INT,XXXFO
conlabefacto,v1,1,nor,nor,XXXFO
conlabefio,v3,3,nor,SEM,XXXCO
conlabello,v1,1,nor,TRA,XXXFO
conlacero,v1,1,nor,TRA,XXXFO
conlacrimo,v1,1,nor,nor,XXXDO
conlacrumo,v1,1,nor,nor,XXXES
conlaeto,v1,1,nor,DEP,DXXFS
conlatero,v1,1,nor,TRA,DXXFS
conlatro,v1,1,nor,TRA,XXXFO
conlaudo,v1,1,nor,TRA,XXXCO
conlaxo,v1,1,nor,TRA,XXXFO
conlesco,v3,3,nor,INT,DXXES
conlevo,v1,1,nor,TRA,XXXDO
conlibro,v1,1,nor,TRA,XAXEO
conlido,v3,3,nor,TRA,XXXBO
conligo,v3,3,nor,TRA,XXXAO
conligo,v1,1,nor,TRA,XXXBO
conlimo,v1,1,nor,TRA,XXXFO
conlimito,v1,1,nor,INT,DXXES
conlino,v3,3,nor,TRA,XXXCO
conlineo,v1,1,nor,TRA,XXXEO
conlinio,v1,1,nor,TRA,XXXDO
conliquefacio,v3,3,nor,TRA,XSXEO
conliquefio,v3,3,nor,SEM,XSXEO
conliquesco,v3,3,nor,TRA,XXXDO
conloco,v1,1,nor,TRA,XXXAO
conlocupleto,v1,1,nor,TRA,XXXEO
conloquo,v3,3,nor,DEP,XXXBO
conluo,v3,3,nor,TRA,XXXCO
conluco,v1,1,nor,TRA,XAXEO
conlucto,v1,1,nor,DEP,XXXCO
conludo,v3,3,nor,INT,XXXCO
conlumino,v1,1,nor,TRA,XXXEO
conlustro,v1,1,nor,TRA,XXXCO
conlutito,v1,1,nor,TRA,DXXES
conlutlento,v1,1,nor,TRA,XXXFO
conmemoro,v1,1,nor,TRA,XXXBO
conmerco,v1,1,nor,DEP,XXXDO
conmetio,v4,4,nor,DEP,XSXDO
conmitigo,v1,1,nor,TRA,XXXFO
conmitto,v3,3,nor,nor,XXXAO
conmolio,v4,4,nor,DEP,XXXDS
conmonefacio,v3,3,nor,TRA,XXXCO
conmonefio,v3,3,nor,SEM,XXXCO
conmonstro,v1,1,nor,TRA,XXXCS
conmoro,v1,1,nor,nor,DXXCS
conmorio,v3,3,nor,DEP,XXXCS
conmostro,v1,1,nor,TRA,XXXCS
conmunico,v1,1,nor,TRA,XXXAS
conmuro,v3,3,nor,TRA,XXXBO
connasco,v3,3,nor,DEP,DXXCS
connecto,v3,3,nor,TRA,XXXBO
connito,v3,3,nor,DEP,XXXDX
connumero,v1,1,nor,TRA,XXXEO
conpacisco,v3,3,nor,DEP,XXXFS
conparo,v1,1,nor,TRA,XXXAO
conparco,v3,3,nor,TRA,DXXCO
conpartio,v3,3,nor,DEP,XXXIO
conpasco,v3,3,nor,TRA,XAXCO
conpavesco,v3,3,nor,INT,XXXFO
conpavio,v4,4,nor,TRA,XXXFO
conpecisco,v3,3,nor,DEP,XXXFS
conpedio,v4,4,nor,TRA,XXXEO
conpello,v1,1,nor,TRA,XXXBO
conpello,v3,3,nor,TRA,XXXAO
conpendo,v3,3,nor,TRA,XXXFO
conpenso,v1,1,nor,TRA,XXXBO
conperco,v3,3,nor,TRA,DXXCO
conperendino,v1,1,nor,TRA,XLXCO
conperio,v4,4,nor,TRA,XXXAO
conpesco,v3,3,nor,TRA,XXXAO
conpeto,v3,3,nor,nor,XXXBO
conpilo,v1,1,nor,TRA,XXXCO
conpingo,v3,3,nor,TRA,XXXBO
conplaco,v1,1,nor,TRA,XXXFO
conplano,v1,1,nor,TRA,XXXCO
conplecto,v3,3,nor,TRA,XXXAO
conplico,v1,1,nor,TRA,XXXCO
conplodo,v3,3,nor,TRA,XXXCO
conploro,v1,1,nor,nor,XXXCO
conpluo,v3,3,nor,DEP,DXXES
conpono,v3,3,nor,TRA,XXXAO
conporto,v1,1,nor,TRA,XXXCO
conpoto,v1,1,nor,INT,XXXFO
conpotio,v4,4,nor,TRA,XXXDO
conpraecido,v3,3,nor,TRA,XXXFO
conpreco,v1,1,nor,DEP,XEXCO
conprehendo,v3,3,nor,TRA,XXXAO
conprehenso,v1,1,nor,TRA,XXXFO
conprendo,v3,3,nor,TRA,XXXAO
conprimo,v3,3,nor,nor,XXXDX
conprobo,v1,1,nor,TRA,XXXBO
conpromitto,v3,3,nor,nor,XXXCO
conpulso,v1,1,nor,TRA,XXXFO
conpungo,v3,3,nor,TRA,XXXCO
conpurgo,v1,1,nor,TRA,XEXNS
conputo,v1,1,nor,TRA,XSXBO
conputesco,v3,3,nor,INT,XXXCO
conputresco,v3,3,nor,INT,XXXCO
conquadro,v1,1,nor,TRA,XXXEO
conquaero,v3,3,nor,TRA,XXXBS
conquasso,v1,1,nor,TRA,XXXCO
conquero,v3,3,nor,DEP,XXXBO
conquiesco,v3,3,nor,INT,XXXBO
conquino,v1,1,nor,TRA,EXXCE
conquinisco,v3,3,nor,INT,XXXDO
conquiro,v3,3,nor,TRA,XXXBO
conrado,v3,3,nor,TRA,XXXCO
conregno,v1,1,nor,INT,DLXES
conrepo,v3,3,nor,INT,XXXCO
conrepto,v1,1,nor,INT,DXXCS
conresuscito,v1,1,nor,TRA,DEXES
conrigo,v3,3,nor,TRA,XXXBO
conripio,v3,3,nor,TRA,XXXAO
conrivo,v1,1,nor,TRA,XXXEO
conroboro,v1,1,nor,TRA,XXXBO
conrodo,v3,3,nor,TRA,XXXDO
conrogo,v1,1,nor,TRA,XXXCO
conrotundo,v1,1,nor,TRA,XXXDO
conruo,v3,3,nor,nor,XXXBO
conrugo,v1,1,nor,TRA,XXXEO
conrumpo,v3,3,nor,TRA,XXXAO
conruspo,v1,1,nor,DEP,XXXEO
conrutundo,v1,1,nor,TRA,XXXDO
consacro,v1,1,nor,TRA,XEXBO
consaepio,v4,4,nor,TRA,XXXCO
consaepto,v1,1,nor,TRA,DXXFS
consaluto,v1,1,nor,TRA,XXXCO
consano,v1,1,nor,TRA,XBXEO
consanesco,v3,3,nor,INT,XBXEO
consarcino,v1,1,nor,TRA,XXXEO
consario,v4,4,nor,TRA,XAXES
consarrio,v4,4,nor,TRA,XAXES
consaucio,v1,1,nor,TRA,XWXEO
consavio,v1,1,nor,TRA,XXXFO
conscelero,v1,1,nor,TRA,XXXEO
conscendo,v3,3,nor,nor,XXXBO
conscio,v4,4,nor,nor,XXXEO
conscindo,v3,3,nor,TRA,XXXCO
conscisco,v3,3,nor,TRA,XXXCO
conscreo,v1,1,nor,DEP,XXXFO
conscribo,v3,3,nor,TRA,XXXBO
conscribillo,v1,1,nor,TRA,XXXEO
conseco,v1,1,nor,TRA,XXXCO
conseco,v3,3,nor,DEP,EXXEZ
consecro,v1,1,nor,TRA,XEXBO
consecto,v1,1,nor,DEP,XXXBO
consedo,v1,1,nor,TRA,XXXFO
consenesco,v3,3,nor,INT,XXXBO
consentio,v4,4,nor,nor,XXXAO
consepelio,v4,4,nor,TRA,EXXFE
consepio,v4,4,nor,TRA,XXXCO
consepto,v1,1,nor,TRA,DXXFS
consequo,v3,3,nor,DEP,XXXAO
consero,v3,3,nor,TRA,XXXBO
consermono,v1,1,nor,DEP,XXXFO
conservo,v1,1,nor,nor,XXXBO
consido,v3,3,nor,INT,XXXAO
considero,v1,1,nor,TRA,XXXBO
consigno,v1,1,nor,TRA,XXXCO
consignifico,v1,1,nor,nor,FGXFM
consilesco,v3,3,nor,INT,BXXEO
consilio,v1,1,nor,DEP,XXXCO
consimilo,v1,1,nor,TRA,DXXES
consipio,v4,4,nor,TRA,BXXCO
consipio,v3,3,nor,INT,XXXEO
consisto,v3,3,nor,nor,XXXAO
consocio,v1,1,nor,nor,XXXCO
consolo,v1,1,nor,TRA,XXXDO
consolido,v1,1,nor,TRA,XXXEO
consomnio,v1,1,nor,TRA,BXXFS
consono,v1,1,nor,nor,XXXCO
consopio,v4,4,nor,TRA,XXXCO
conspargo,v3,3,nor,TRA,XXXBO
conspelio,v4,4,nor,TRA,DEXFS
conspergo,v3,3,nor,TRA,XXXBO
conspico,v1,1,nor,DEP,XXXCO
conspicio,v3,3,nor,TRA,XXXBO
conspiro,v1,1,nor,TRA,DXXFS
conspisso,v1,1,nor,TRA,XXXEO
consplendesco,v3,3,nor,INT,DXXFS
conspolio,v1,1,nor,TRA,DXXFS
conspuo,v3,3,nor,TRA,XXXCO
conspurco,v1,1,nor,TRA,XXXEO
consputo,v1,1,nor,TRA,XXXFO
consto,v1,1,nor,INT,XXXAO
constabilio,v4,4,nor,TRA,XXXEO
constagno,v1,1,nor,INT,DXXFS
consterno,v1,1,nor,TRA,XXXCO
consterno,v3,3,nor,TRA,XXXBO
constipo,v1,1,nor,TRA,XXXEO
constituo,v3,3,nor,nor,XXXAO
constrepo,v3,3,nor,INT,XXXCO
constricto,v1,1,nor,TRA,DBXES
constringo,v3,3,nor,TRA,XXXBO
construo,v3,3,nor,TRA,XXXBO
constupro,v1,1,nor,TRA,XXXDO
consuo,v3,3,nor,TRA,XXXCO
consuavio,v1,1,nor,TRA,XXXFO
consubigo,v3,3,nor,TRA,DXXFS
consudo,v1,1,nor,INT,XXXDO
consudasco,v3,3,nor,INT,XXXFS
consudesco,v3,3,nor,INT,XXXFO
consuefacio,v3,3,nor,TRA,XXXCO
consuefio,v3,3,nor,SEM,DXXCO
consuesco,v3,3,nor,nor,XXXBO
consulo,v3,3,nor,nor,XXXAO
consulto,v1,1,nor,nor,XXXBO
consumo,v3,3,nor,TRA,XXXAO
consummo,v1,1,nor,nor,XXXBO
consurgo,v3,3,nor,INT,XXXAO
consusrro,v1,1,nor,INT,XXXFO
conto,v1,1,nor,DEP,XXXFO
contabefacio,v3,3,nor,TRA,XXXFO
contabesco,v3,3,nor,INT,XXXDO
contabulo,v1,1,nor,TRA,XXXCO
contamino,v1,1,nor,TRA,XXXBO
contechno,v1,1,nor,DEP,XXXFO
contego,v3,3,nor,TRA,XXXBO
contemero,v1,1,nor,TRA,XXXEO
contemno,v3,3,nor,TRA,XXXBO
contempero,v1,1,nor,TRA,XXXFO
contemplo,v1,1,nor,TRA,XXXBO
contempno,v3,3,nor,TRA,XXXBS
contemporo,v1,1,nor,INT,DXXFS
contendo,v3,3,nor,nor,XXXAO
contenebro,v1,1,nor,TRA,DEXFS
contenebrasco,v3,3,nor,TRA,XXXFO
contento,v1,1,nor,DEP,FLXEM
contero,v3,3,nor,TRA,XXXBO
conterebro,v1,1,nor,TRA,DXXFS
conterito,v1,1,nor,TRA,EXXCW
contermino,v1,1,nor,INT,DXXFS
conterno,v1,1,nor,TRA,XXXFO
conterrito,v1,1,nor,TRA,XXXCO
contessero,v1,1,nor,INT,DXXFS
contesto,v1,1,nor,DEP,XLXCO
contexo,v3,3,nor,TRA,XXXBO
conticesco,v3,3,nor,INT,XXXCO
conticisco,v3,3,nor,INT,XXXCO
contigno,v1,1,nor,TRA,XXXEO
contino,v1,1,nor,DEP,XXXDO
contingo,v3,3,nor,TRA,XXXAO
continuo,v1,1,nor,TRA,XXXBO
contiono,v1,1,nor,DEP,XLXCO
contollo,v3,3,nor,TRA,XXXEO
contono,v1,1,nor,IMP,XXXFO
contracto,v1,1,nor,TRA,XXXBO
contrado,v3,3,nor,TRA,DXXES
contradico,v3,3,nor,nor,XGXCO
contraeo,v6,6,1,INT,DXXES
contrafaco,v3,3,nor,TRA,FXXCM
contrafacio,v3,3,nor,TRA,FLXFM
contraho,v3,3,nor,TRA,XXXAO
contrapono,v3,3,nor,TRA,XXXEO
contrario,v1,1,nor,DEP,FXXEM
contrascribo,v3,3,nor,TRA,DLXFS
contravenio,v4,4,nor,INT,DXXFS
contreo,v6,6,1,TRA,EEXFW
contrecto,v1,1,nor,TRA,XXXBO
contremo,v3,3,nor,INT,XXXEO
contremesco,v3,3,nor,nor,XXXCO
contremisco,v3,3,nor,nor,XXXCO
contrio,v4,4,nor,TRA,XXXFO
contribuo,v3,3,nor,TRA,XXXCO
contribulo,v1,1,nor,TRA,DEXDS
contrico,v1,1,nor,TRA,XXXFO
contristo,v1,1,nor,TRA,XXXBO
controverso,v1,1,nor,DEP,XGXFO
controverto,v3,3,nor,nor,EGXEE
contrucido,v1,1,nor,TRA,XXXCO
contrudo,v3,3,nor,TRA,XXXCO
contrunco,v1,1,nor,TRA,XXXEO
contuo,v3,3,nor,INT,XXXEO
contumelio,v1,1,nor,TRA,XXXIO
contumesco,v3,3,nor,INT,DXXFS
contumulo,v1,1,nor,TRA,XXXDO
contundo,v3,3,nor,TRA,XXXCO
conturbo,v1,1,nor,nor,XXXCO
conturmo,v1,1,nor,TRA,DWXFS
contuto,v1,1,nor,DEP,DXXES
convado,v1,1,nor,DEP,XXXFO
convalo,v3,3,nor,INT,XXXCO
convalesco,v3,3,nor,INT,XXXCO
convalido,v1,1,nor,TRA,EXXEE
convallo,v1,1,nor,TRA,XXXFO
convario,v1,1,nor,TRA,XXXFO
convaso,v1,1,nor,TRA,XWXFO
convecto,v1,1,nor,nor,XXXEO
conveho,v3,3,nor,TRA,XXXCO
convelo,v1,1,nor,TRA,XXXEO
convello,v3,3,nor,TRA,XXXBO
convenio,v4,4,nor,nor,XXXAO
convenusto,v1,1,nor,TRA,DXXDS
converbero,v1,1,nor,TRA,XXXCO
convergo,v3,3,nor,INT,DXXFS
converro,v3,3,nor,TRA,XXXCO
converso,v1,1,nor,TRA,XXXEO
converto,v3,3,nor,nor,XXXAO
convesco,v3,3,nor,DEP,DEXFS
convestio,v4,4,nor,nor,XXXCO
convexo,v1,1,nor,TRA,XXXFO
convibro,v1,1,nor,nor,XXXEO
convicio,v1,1,nor,DEP,XXXCO
convinco,v3,3,nor,TRA,XLXBO
conviolo,v1,1,nor,TRA,XEXIO
conviresco,v3,3,nor,INT,DAXES
conviso,v3,3,nor,TRA,XXXCO
convisero,v1,1,nor,TRA,DXXFS
convitio,v1,1,nor,TRA,DWXFS
convivo,v1,1,nor,INT,XXXCO
convivo,v3,3,nor,INT,XXXCO
convivifico,v1,1,nor,TRA,DEXES
convoco,v1,1,nor,TRA,XXXBO
convolo,v1,1,nor,INT,XXXCO
convolnero,v1,1,nor,TRA,XXXCO
convoluto,v1,1,nor,TRA,XXXFS
convolvo,v3,3,nor,TRA,XXXBO
convomo,v3,3,nor,TRA,XXXEO
convoro,v1,1,nor,TRA,DXXFS
convorro,v3,3,nor,TRA,XXXCO
convulnero,v1,1,nor,TRA,XXXCO
coopero,v1,1,nor,nor,FXXEE
cooperio,v4,4,nor,TRA,XXXCO
coopto,v1,1,nor,TRA,XXXCO
coordino,v1,1,nor,INT,FXXDO
coorio,v4,4,nor,DEP,XXXCO
copero,v1,1,nor,DEP,DXXDS
coperio,v4,4,nor,TRA,XXXDX
copio,v1,1,nor,DEP,XWXFO
copto,v1,1,nor,TRA,XXXCO
copulo,v1,1,nor,TRA,XXXBO
coquo,v3,3,nor,TRA,XXXAO
coquino,v1,1,nor,TRA,XXXCS
coquito,v1,1,nor,TRA,BXXFO
coracino,v1,1,nor,INT,DAXFS
corio,v4,4,nor,DEP,XXXCO
cornesco,v3,3,nor,INT,XXXNO
cornico,v1,1,nor,DEP,XXXEO
corono,v1,1,nor,nor,XXXBX
corporo,v1,1,nor,TRA,XXXDO
corporasco,v3,3,nor,INT,DEXES
corrado,v3,3,nor,TRA,XXXCO
corregno,v1,1,nor,INT,DLXES
correpo,v3,3,nor,INT,XXXCO
correpto,v1,1,nor,INT,DXXCS
corresuscito,v1,1,nor,TRA,DEXES
corrigo,v3,3,nor,TRA,XXXBO
corripio,v3,3,nor,TRA,XXXAO
corrivo,v1,1,nor,TRA,XXXEO
corroboro,v1,1,nor,TRA,XXXBO
corrodo,v3,3,nor,TRA,XXXDO
corrogo,v1,1,nor,TRA,XXXCO
corrotundo,v1,1,nor,TRA,XXXDO
corruo,v3,3,nor,nor,XXXBO
corrugo,v1,1,nor,TRA,XXXEO
corrumpo,v3,3,nor,TRA,XXXAO
corruspo,v1,1,nor,DEP,XXXEO
corrutundo,v1,1,nor,TRA,XXXDO
corusco,v1,1,nor,nor,XXXBO
cosentio,v4,4,nor,nor,XXXIS
cosidero,v1,1,nor,TRA,XXXIO
cosigno,v1,1,nor,TRA,XXXIO
cosmitto,v3,3,nor,nor,AXXCS
couto,v3,3,nor,DEP,DXXFS
crasso,v1,1,nor,TRA,XXXFO
crassesco,v3,3,nor,INT,XXXCO
cratio,v4,4,nor,TRA,XAXNO
creo,v1,1,nor,TRA,XXXBO
crebesco,v3,3,nor,nor,XXXCS
crebresco,v3,3,nor,nor,XXXCO
credo,v3,3,nor,nor,XXXAO
credito,v1,1,nor,TRA,DXXFS
creduo,v3,3,nor,nor,BXXES
cremo,v1,1,nor,TRA,XXXBO
cremito,v1,1,nor,TRA,BXXFO
crepo,v1,1,nor,nor,XXXBO
crepito,v1,1,nor,INT,XXXCO
cresco,v3,3,nor,INT,XXXAO
cresso,v1,1,nor,nor,XXXDM
cribello,v1,1,nor,TRA,DXXFS
cribro,v1,1,nor,TRA,XXXEO
crimino,v1,1,nor,TRA,BLXDO
crinio,v4,4,nor,TRA,XXXEO
criso,v1,1,nor,INT,XXXEO
crispo,v1,1,nor,nor,XXXCO
crispico,v1,1,nor,nor,XXXFS
crisso,v1,1,nor,INT,XXXES
croco,v1,1,nor,TRA,DXXFS
croccio,v4,4,nor,INT,XAXEO
crocio,v4,4,nor,INT,XAXES
crocino,v1,1,nor,TRA,DEXFS
crocito,v1,1,nor,INT,XAXFO
crotalisso,v1,1,nor,INT,DDXFS
crotolo,v1,1,nor,INT,XAXFO
crucio,v1,1,nor,nor,XXXBO
crucifigo,v3,3,nor,TRA,XXXEO
crudesco,v3,3,nor,INT,XXXCO
crudito,v1,1,nor,TRA,DBXES
cruento,v1,1,nor,TRA,XXXCO
crumino,v1,1,nor,TRA,DXXFS
crusto,v1,1,nor,TRA,XXXDO
crystallizo,v1,1,nor,nor,GSXEK
cubo,v1,1,nor,INT,XXXBO
cubito,v1,1,nor,INT,XXXCO
cuccubio,v4,4,nor,INT,XAXFO
cucubo,v1,1,nor,INT,XAXFS
cuculo,v1,1,nor,INT,XAXFO
cucurrio,v4,4,nor,INT,XAXFO
cudo,v3,3,nor,TRA,XXXCO
culo,v1,1,nor,TRA,XXXFO
culpo,v1,1,nor,TRA,XXXCO
culpito,v1,1,nor,TRA,XXXFO
cultello,v1,1,nor,TRA,XSXEO
cumulo,v1,1,nor,TRA,XXXAO
cuncto,v1,1,nor,nor,XXXDO
cuneo,v1,1,nor,TRA,XXXCO
cunio,v4,4,nor,INT,XXXFO
cupio,v3,3,nor,TRA,XXXBO
cupisco,v3,3,nor,INT,DXXES
curo,v1,1,nor,nor,XXXAO
curago,v3,3,nor,INT,XXXIO
curito,v1,1,nor,TRA,XXXFO
curro,v3,3,nor,INT,XXXAO
curso,v1,1,nor,INT,XXXCO
cursito,v1,1,nor,INT,XXXCO
curto,v1,1,nor,TRA,XAXCO
curvo,v1,1,nor,TRA,XXXCO
curvesco,v3,3,nor,INT,DXXDS
cuso,v1,1,nor,TRA,DLXFS
cuspido,v1,1,nor,TRA,XXXNO
custodio,v4,4,nor,TRA,XXXAO
cyathisso,v1,1,nor,INT,XXXFO
cymbalisso,v1,1,nor,INT,XDXFO
do,v1,1,nor,TRA,XXXAO
damno,v1,1,nor,TRA,XXXAO
damnifico,v1,1,nor,TRA,DEXES
dampno,v1,1,nor,TRA,DXXDS
dapino,v1,1,nor,TRA,XXXFO
dato,v1,1,nor,TRA,XXXDO
deacino,v1,1,nor,TRA,XXXFO
deaduoco,v1,1,nor,nor,FLXFJ
deago,v3,3,nor,TRA,XXXFO
dealbo,v1,1,nor,TRA,XXXCO
deamo,v1,1,nor,TRA,XXXCO
deambulo,v1,1,nor,INT,XXXCO
deargento,v1,1,nor,TRA,XXXFO
deargumento,v1,1,nor,DEP,DLXFS
dearmo,v1,1,nor,TRA,DXXES
deartuo,v1,1,nor,TRA,BXXFO
deasceo,v1,1,nor,TRA,XXXEO
deascio,v1,1,nor,TRA,XXXEO
deauro,v1,1,nor,INT,XXXCS
debaccho,v1,1,nor,DEP,XXXEO
debattuo,v3,3,nor,TRA,XXXFO
debatuo,v3,3,nor,TRA,XXXFS
debello,v1,1,nor,nor,XWXCO
debibo,v3,3,nor,TRA,DXXFS
debilito,v1,1,nor,TRA,XXXCO
deblatero,v1,1,nor,nor,XXXDO
